infinitive,class,stress
смея́ться,6,b
слы́шать,5,a
расша́тывать,1,a
озари́ть,4,b
встреча́ть,1,a
рыга́ть,1,a
ли́ться,11,b
стона́ть,1,a
потеря́ть,1,a
сдо́хнуть,3,a
уходи́ть,4,c
ты́кать,6,a
увива́ться,1,a
пёрнуть,3,a
зале́зть,7,a
ради́ровать,2,a
воссоедини́ть,4,b
гра́бить,4,a
уе́хать,irreg,
входи́ть,4,c
войти́,irreg,
па́сть,7,b
ка́пнуть,3,a
разреши́ть,4,b
ры́ть,12,a
потепле́ть,1,a
засы́пать,6,a
засыпа́ть,1,a
испыта́ть,1,a
стара́ться,1,a
обижа́ться,1,a
предложи́ть,4,c
предлага́ть,1,a
разреша́ть,1,a
сохраня́ть,1,a
вы́ключить,4,a
сохрани́ть,4,b
вы́ситься,4,a
возвыша́ться,1,a
охо́титься,4,a
по́льзоваться,2,a
сова́ть,2,b
свети́ть,4,c
заме́тить,4,a
захоте́ться,5,c
хоте́ться,5,c
научи́ть,4,c
дели́ть,4,c
моли́ть,4,c
переверну́ть,3,b
быва́ть,1,a
вали́ться,4,c
заломи́ть,4,c
зала́мывать,1,a
прилега́ть,1,a
своло́чь,8,b
оши́кать,1,a
охло́пать,1,a
замеча́ть,1,a
глота́ть,1,a
показа́ть,6,c
рисова́ть,2,a
утра́тить,4,a
ау́кать,1,a
а́кать,1,a
профу́кать,1,a
броса́ть,1,a
трево́жить,4,a
склоня́ть,1,a
бро́сить,4,a
де́йствовать,2,a
па́чкать,1,a
опека́ть,1,a
облокоти́ться,4,c
поднима́ть,1,a
путеше́ствовать,2,a
подня́ть,14,c
гласи́ть,4,b
просыпа́ться,1,a
просы́паться,6,a
кайфова́ть,2,a
приобрета́ть,1,a
посмотре́ть,5,c
ожида́ть,1,a
перейти́,irreg,
положи́ть,4,c
вы́расти,7,a
похища́ть,1,a
упа́сть,7,b
око́нчить,4,a
оста́ться,15,a
кида́ть,1,a
нарисова́ть,2,a
водружа́ть,1,a
дыша́ть,5,c
сгиба́ть,1,a
вста́ть,15,a
встава́ть,13,b
наступи́ть,4,c
лови́ть,4,c
моро́зить,4,a
заста́вить,4,a
сто́ить,4,a
наде́ть,15,a
надева́ть,1,a
игнори́ровать,2,a
купа́ть,1,a
поблагодари́ть,4,b
сомнева́ться,1,a
подходи́ть,4,c
ска́чивать,1,a
со́хнуть,3,a
копа́ть,1,a
соверша́ть,1,a
соверши́ть,4,b
одева́ться,1,a
раскры́ть,12,a
тре́бовать,2,a
плани́ровать,2,a
планирова́ть,2,a
появи́ться,4,c
торопи́ться,4,c
ра́довать,2,a
ра́доваться,2,a
сле́довать,2,a
произнести́,7,b
жа́рить,4,a
соотноси́ться,4,c
вспо́мнить,4,a
бичева́ть,2,a
уро́довать,2,a
сотру́дничать,1,a
кути́ть,4,c
притя́гивать,1,a
страши́ться,4,b
подстрека́ть,1,a
запрети́ть,4,b
напра́виться,4,a
ударя́ть,1,a
