infinitive,class,stress
завы́сить,4,a
окрести́ть,4,c
неме́ть,1,a
раскра́сить,4,a
подкрепи́ть,4,b
закрути́ть,4,c
зава́ривать,1,a
скрепи́ть,4,b
примеча́ть,1,a
подкрепля́ть,1,a
закру́чивать,1,a
отпеча́тать,1,a
щу́пать,1,a
проеци́ровать,2,a
крои́ть,4,b
раскра́шивать,1,a
добега́ть,1,a
добе́гать,1,a
меси́ть,4,c
усы́пать,6,a
усыпа́ть,1,a
обеспоко́ить,4,a
зака́пывать,1,a
завыша́ть,1,a
заме́шивать,1,a
вы́скользнуть,3,a
взвы́ть,12,a
отвыка́ть,1,a
оки́нуть,3,a
пересо́хнуть,3,a
отвы́кнуть,3,a
стряхну́ть,3,b
завари́ть,4,c
зави́снуть,3,a
вду́маться,1,a
выска́льзывать,1,a
перешагну́ть,3,b
оки́дывать,1,a
завя́знуть,3,a
возложи́ться,4,c
вда́ться,irreg,
зависа́ть,1,a
переме́шивать,1,a
обобща́ть,1,a
толкну́ться,3,b
приме́тить,4,a
уня́ться,14,b
вду́мываться,1,a
прерва́ться,6,b
перегова́ривать,1,a
переговори́ть,4,b
проследи́ться,4,b
переша́гивать,1,a
возлага́ться,1,a
соприкосну́ться,3,b
завяза́ться,6,c
стря́хивать,1,a
соблюда́ться,1,a
завя́зываться,1,a
исключа́ться,1,a
разорва́ться,6,b
надува́ть,1,a
разруша́ться,1,a
толка́ться,1,a
прерыва́ться,1,a
скрепля́ть,1,a
заяви́ться,4,c
просле́живаться,1,a
привяза́ться,6,c
наду́ть,12,a
плести́сь,7,b
обтяну́ть,3,c
разрыва́ться,1,a
спроеци́ровать,2,a
углубля́ть,1,a
вдава́ться,13,b
углуби́ться,4,b
разлета́ться,1,a
обтя́гивать,1,a
зака́пать,1,a
разлете́ться,5,b
опра́виться,4,a
обоснова́ться,2,b
осла́бнуть,3,a
оправля́ться,1,a
соблюсти́сь,7,b
углубля́ться,1,a
углуби́ть,4,b
глотну́ть,3,b
нагря́нуть,3,a
распра́виться,4,a
заявля́ться,1,a
распра́вить,4,a
привя́зываться,1,a
разгоре́ться,5,b
расправля́ться,1,a
разру́шиться,4,a
исключи́ться,4,b
осы́паться,6,a
осыпа́ться,1,a
разгора́ться,1,a
истолкова́ть,2,a
ру́шить,4,a
дра́ть,6,b
соприкаса́ться,1,a
пересели́ть,4,b
попя́титься,4,a
ввали́ться,4,c
ти́снуть,3,a
ввали́ть,4,c
окуну́ться,3,b
расправля́ть,1,a
восхити́ться,4,b
забеспоко́иться,4,a
окуна́ть,1,a
скопи́ровать,2,a
промахну́ться,3,b
переселя́ть,1,a
прома́хиваться,1,a
воцаря́ться,1,a
пересели́ться,4,b
осы́пать,6,a
осыпа́ть,1,a
вознести́,7,b
проти́снуть,3,a
скопи́ться,4,c
тра́титься,4,a
ска́пливать,1,a
вы́смотреть,5,a
расседа́ться,1,a
переселя́ться,1,a
рассади́ть,4,c
воцари́ться,4,b
раски́нуться,3,a
проти́скивать,1,a
замя́ться,14,b
ска́пливаться,1,a
вы́явиться,4,a
проти́снуться,3,a
раски́дываться,1,a
расса́живаться,1,a
офо́рмиться,4,a
ору́довать,2,a
перенести́сь,7,b
высма́тривать,1,a
расса́живать,1,a
оформля́ться,1,a
замина́ться,1,a
проясни́ться,4,b
выявля́ться,1,a
проти́скиваться,1,a
копи́ровать,2,a
обознача́ться,1,a
свора́чиваться,1,a
возноси́ть,4,c
корми́ться,4,c
дове́риться,4,a
окуну́ть,3,b
ломи́ться,4,c
сверну́ться,3,b
огорча́ться,1,a
опро́бовать,2,a
запива́ть,1,a
вла́ствовать,2,a
рассе́сться,7,a
свёртываться,1,a
доверя́ться,1,a
унима́ться,1,a
восхища́ть,1,a
реформи́ровать,2,a
восхити́ть,4,b
восхи́тить,4,a
скопи́ть,4,c
продли́ться,4,b
рассле́довать,2,a
запи́ть,11,b
обозна́читься,4,a
проясня́ться,1,a
мотиви́ровать,2,a
замета́ться,6,c
погова́ривать,1,a
вва́ливать,1,a
замя́ть,14,b
заторопи́ться,4,c
проясни́ть,4,b
проя́снить,4,a
вва́ливаться,1,a
ша́ркнуть,3,a
смонти́ровать,2,a
вы́ждать,6,a
разосла́ть,6,b
грясти́,7,b
взреве́ть,irreg,
вколо́ть,10,c
сконцентри́ровать,2,a
заскрипе́ть,5,b
сконструи́ровать,2,a
уга́снуть,3,a
зашипе́ть,5,b
оку́тывать,1,a
оку́тать,1,a
рассыла́ть,1,a
загуби́ть,4,c
хрома́ть,1,a
пробурча́ть,5,b
сфотографи́ровать,2,a
распознава́ть,13,b
прохрипе́ть,5,b
угаса́ть,1,a
проле́зть,7,a
распозна́ть,1,a
произрасти́,7,b
поверте́ть,5,c
зашуме́ть,5,b
воссе́сть,7,a
подрабо́тать,1,a
назре́ть,1,a
повеселе́ть,1,a
назрева́ть,1,a
выжида́ть,1,a
прокорректи́ровать,2,a
сруба́ть,1,a
обы́грывать,1,a
восседа́ть,1,a
подслу́шать,1,a
содра́ть,6,b
веселе́ть,1,a
произраста́ть,1,a
сдави́ть,4,c
уве́шивать,1,a
пролеза́ть,1,a
подраба́тывать,1,a
конструи́ровать,2,a
спроекти́ровать,2,a
уве́шать,1,a
заседа́ть,1,a
сдира́ть,1,a
сопе́рничать,1,a
пересыха́ть,1,a
концентри́ровать,2,a
ощу́пать,1,a
просчи́тывать,1,a
ша́ркать,1,a
ку́тать,1,a
простона́ть,1,a
сда́вливать,1,a
усмотре́ть,5,c
усма́тривать,1,a
корректи́ровать,2,a
сели́ть,4,b
сруби́ть,4,c
переноси́ться,4,c
заку́тать,1,a
вка́лывать,1,a
заку́тывать,1,a
обыгра́ть,1,a
проекти́ровать,2,a
ощу́пывать,1,a
просчита́ть,1,a
вы́гореть,5,a
погрози́ть,4,b
дозво́лить,4,a
уясни́ть,4,b
потрево́жить,4,a
учини́ть,4,b
расцени́ть,4,c
вы́брить,12,a
моргну́ть,3,b
учиня́ть,1,a
просу́нуть,3,a
обморо́чить,4,a
дозволя́ть,1,a
смести́ть,4,b
прикле́ить,4,a
прикри́кнуть,3,a
хлебну́ть,3,b
разве́ять,6,a
обогну́ть,3,b
вы́пучить,4,a
сколоти́ть,4,c
замо́лкнуть,3,a
уясня́ть,1,a
упраздня́ть,1,a
подменя́ть,1,a
осле́пнуть,3,a
венча́ть,1,a
встря́хивать,1,a
подмеча́ть,1,a
огиба́ть,1,a
опу́хнуть,3,a
кря́кнуть,3,a
сопряга́ть,1,a
сле́пнуть,3,a
зама́чивать,1,a
разева́ть,1,a
подме́тить,4,a
рази́нуть,3,a
затрудни́ть,4,b
мо́лкнуть,3,a
осве́домить,4,a
упраздни́ть,4,b
встряхну́ть,3,b
выбрива́ть,1,a
скола́чивать,1,a
прикри́кивать,1,a
расспроси́ть,4,c
прикле́ивать,1,a
ослепля́ть,1,a
све́сить,4,a
опуха́ть,1,a
придви́нуть,3,a
просо́вывать,1,a
поверга́ть,1,a
осведомля́ть,1,a
присужда́ть,1,a
разве́ивать,1,a
замочи́ть,4,c
све́шивать,1,a
расце́нивать,1,a
пове́ргнуть,3,a
передёрнуть,3,a
упроща́ть,1,a
ослепи́ть,4,b
окуна́ться,1,a
преподноси́ть,4,c
придвига́ть,1,a
пропива́ть,1,a
подмени́ть,4,c
смеща́ть,1,a
упрости́ть,4,b
передёргивать,1,a
сопря́чь,8,b
замина́ть,1,a
заполучи́ть,4,c
выпу́чивать,1,a
пропи́ть,11,b
моро́чить,4,a
подкати́ть,4,c
распла́каться,6,a
разочарова́ться,2,a
поплести́сь,7,b
примча́ться,5,b
обли́ться,11,b
воспита́ться,1,a
подка́тывать,1,a
вы́платиться,4,a
назва́ться,6,b
заволнова́ться,2,a
потере́ться,9,b
разраста́ться,1,a
притаи́ться,4,b
круши́ть,4,b
встрево́житься,4,a
привле́чься,8,b
расплы́ться,16,b
очарова́ть,2,a
очаро́вывать,1,a
постуча́ться,5,b
сокруша́ться,1,a
притаи́ть,4,b
воспроти́виться,4,a
вы́работаться,1,a
воспи́тываться,1,a
выпла́чиваться,1,a
выгора́ть,1,a
привлека́ться,1,a
облива́ться,1,a
подыша́ть,5,c
стуча́ться,5,b
почеса́ться,6,c
проти́виться,4,a
разрасти́сь,7,b
разочаро́вываться,1,a
сокруши́ть,4,b
прилага́ться,1,a
насмотре́ться,5,c
приложи́ться,4,c
изме́риться,4,a
причита́ться,1,a
трево́житься,4,a
прикла́дываться,1,a
пу́чить,4,a
тере́ться,9,b
сокруша́ть,1,a
трансформи́роваться,2,a
трансформи́ровать,2,a
уде́рживаться,1,a
выраба́тываться,1,a
присуди́ть,4,c
шепта́ться,6,c
расплыва́ться,1,a
уво́литься,4,a
копоши́ться,4,b
запы́хаться,1,a
запыха́ться,1,a
зака́шляться,1,a
ткну́ться,3,b
вступи́ться,4,c
отшатну́ться,3,b
изме́ряться,1,a
измеря́ться,1,a
увольня́ться,1,a
отвори́ться,4,b
плю́хаться,1,a
плю́хнуться,3,a
замахну́ться,3,b
зама́хиваться,1,a
смо́рщиться,4,a
отша́тываться,1,a
отва́ливаться,1,a
зака́шливаться,1,a
рассе́яться,6,a
смо́рщить,4,a
смо́рщивать,1,a
обостри́ть,4,b
жа́ться,14,b
отворя́ться,1,a
разу́чиваться,1,a
рассе́ивать,1,a
зарыда́ть,1,a
вступа́ться,1,a
рассе́ять,6,a
закрепи́ться,4,b
переключа́ться,1,a
разучи́ть,4,c
расска́зываться,1,a
закрепля́ться,1,a
обостри́ться,4,b
отвали́ться,4,c
приобщи́ть,4,b
скупи́ть,4,c
обостря́ться,1,a
переключи́ться,4,b
побре́згать,1,a
запры́гать,1,a
разу́чивать,1,a
уве́ровать,2,a
приобща́ться,1,a
приключи́ться,4,b
взыска́ть,6,c
переключа́ть,1,a
скупа́ть,1,a
запозда́ть,1,a
дирижи́ровать,2,a
зарекомендова́ть,2,a
сбли́зить,4,a
побре́зговать,2,a
генери́ровать,2,a
запа́здывать,1,a
чеса́ться,6,c
взы́скивать,1,a
сближа́ть,1,a
сгова́риваться,1,a
бре́згать,1,a
нейтрализова́ть,2,a
завизжа́ть,5,b
заброса́ть,1,a
остри́ть,4,b
оптимизи́ровать,2,a
бре́зговать,2,a
реабилити́ровать,2,a
травми́ровать,2,a
растрепа́ть,6,c
переключи́ть,4,b
разучи́ться,4,c
смо́рщиваться,1,a
стабилизи́ровать,2,a
засве́чивать,1,a
подтяну́ться,3,c
засвети́ться,4,c
засвети́ть,4,c
приобщи́ться,4,b
утопа́ть,1,a
уто́пать,1,a
завороти́ть,4,c
помота́ть,1,a
замыка́ть,1,a
замы́кать,1,a
засве́чиваться,1,a
отмести́,7,b
полыха́ть,1,a
пристрели́ть,4,c
сотрясти́,7,b
пробубни́ть,4,b
вкуси́ть,4,b
зареве́ть,irreg,
завора́чивать,1,a
скорбе́ть,5,b
растопта́ть,6,c
сотряса́ть,1,a
позелене́ть,1,a
сговори́ться,4,b
начерта́ть,1,a
взбудора́жить,4,a
подпира́ть,1,a
разбогате́ть,1,a
запу́тать,1,a
предвкуша́ть,1,a
богате́ть,1,a
пристреля́ть,1,a
надави́ть,4,c
зелене́ть,1,a
раста́птывать,1,a
выла́вливать,1,a
бубни́ть,4,b
вкуша́ть,1,a
застели́ть,4,c
вли́ть,11,b
завладе́ть,1,a
воспе́ть,12,b
будора́жить,4,a
застла́ть,6,c
застила́ть,1,a
сквози́ть,4,b
карау́лить,4,a
вы́ронить,4,a
подтя́гиваться,1,a
нада́вливать,1,a
запу́тывать,1,a
предвкуси́ть,4,b
влива́ть,1,a
обремени́ть,4,b
завладева́ть,1,a
перебега́ть,1,a
перебе́гать,1,a
подцепи́ть,4,c
прику́ривать,1,a
вы́ловить,4,a
засека́ть,1,a
прикури́ть,4,c
накра́сить,4,a
подпере́ть,9,b
вверя́ть,1,a
отгороди́ть,4,c
ты́каться,6,a
обременя́ть,1,a
накра́шивать,1,a
огороди́ть,4,c
вы́крошить,4,a
пристре́ливать,1,a
вве́рить,4,a
подцепля́ть,1,a
загло́хнуть,3,a
огора́живать,1,a
о́хнуть,3,a
засе́чь,8,b
заны́ть,12,a
поника́ть,1,a
вни́кнуть,3,a
вы́таращить,4,a
польсти́ть,4,b
мотну́ть,3,b
заколоти́ть,4,c
запроки́нуть,3,a
о́хать,1,a
искале́чить,4,a
бря́кнуть,3,a
усе́ять,6,a
отку́сывать,1,a
запроки́дывать,1,a
петля́ть,1,a
поволо́чь,8,b
тара́щить,4,a
разве́шать,1,a
закола́чивать,1,a
начища́ть,1,a
приглуша́ть,1,a
начи́стить,4,a
удостове́рить,4,a
ни́кнуть,3,a
усе́ивать,1,a
выве́шивать,1,a
забра́сывать,1,a
разве́сить,4,a
обмяка́ть,1,a
кашляну́ть,3,a
размяка́ть,1,a
возвы́сить,4,a
отгора́живать,1,a
перека́шивать,1,a
разве́шивать,1,a
удостоверя́ть,1,a
возвыша́ть,1,a
затрясти́,7,b
откуси́ть,4,c
вы́весить,4,a
перебежа́ть,5,b
затрясти́сь,7,b
шара́хнуть,3,a
допыта́ться,1,a
стрясти́,7,b
шара́хать,1,a
вы́красить,4,a
спра́вить,4,a
выкра́шивать,1,a
отложи́ться,4,c
су́зить,4,a
оплати́ться,4,c
расползти́сь,7,b
глуши́ть,4,b
подра́ться,6,b
приглуши́ть,4,b
приобща́ть,1,a
стряса́ть,1,a
шара́хнуться,3,a
су́зиться,4,a
зарегистри́роваться,2,a
надорва́ться,6,b
допы́тываться,1,a
раздражи́ться,4,b
справля́ть,1,a
сужа́ть,1,a
бря́кать,1,a
льсти́ть,4,b
откла́дываться,1,a
стрясти́сь,7,b
заложи́ться,4,c
стряса́ться,1,a
повида́ться,1,a
надорва́ть,6,b
поката́ть,1,a
спа́ться,5,b
зва́ться,6,b
раскрасне́ться,1,a
зароди́ть,4,b
вида́ться,1,a
шара́хаться,1,a
су́живаться,1,a
располза́ться,1,a
пе́ться,12,b
зароди́ться,4,b
размя́кнуть,3,a
разы́грываться,1,a
надрыва́ться,1,a
перекоси́ть,4,c
раздража́ться,1,a
зарожда́ть,1,a
мя́кнуть,3,a
опла́чиваться,1,a
разыгра́ться,1,a
перепуга́ться,1,a
финанси́роваться,2,a
поката́ться,1,a
леле́ять,6,a
вяза́ться,6,c
срасти́сь,7,b
су́живать,1,a
промча́ться,5,b
избира́ться,1,a
замыка́ться,1,a
замы́каться,1,a
регистри́роваться,2,a
зарожда́ться,1,a
замкну́ться,3,b
переклика́ть,1,a
закла́дываться,1,a
пони́кнуть,3,a
обмя́кнуть,3,a
доба́виться,4,a
скриви́ть,4,b
осво́иться,4,a
нагромозди́ть,4,b
ско́рчить,4,a
осва́иваться,1,a
скриви́ться,4,b
внести́сь,7,b
добавля́ться,1,a
нанести́сь,7,b
воплоти́ться,4,b
грози́ться,4,b
ко́рчиться,4,a
огры́зть,7,b
пригну́ть,3,b
обмо́лвиться,4,a
заступа́ться,1,a
усло́вливаться,1,a
огрызну́ться,3,b
заступи́ться,4,c
пригну́ться,3,b
отмени́ться,4,c
ухитри́ться,4,b
нае́сться,irreg,
огрыза́ть,1,a
покупа́ться,1,a
вына́шиваться,1,a
громозди́ться,4,b
воплоща́ться,1,a
вы́нестись,7,a
укрепи́ться,4,b
ухитря́ться,1,a
отменя́ться,1,a
вы́ставиться,4,a
пригиба́ть,1,a
колоти́ться,4,c
усло́виться,4,a
пригиба́ться,1,a
огрыза́ться,1,a
раска́лываться,1,a
осека́ться,1,a
укрепля́ться,1,a
подключа́ться,1,a
осе́чься,8,b
усла́вливаться,1,a
ско́рчиться,4,a
ко́рчить,4,a
надрыва́ть,1,a
наеда́ться,1,a
отмета́ть,1,a
нагроможда́ть,1,a
наноси́ться,4,c
расколо́ться,10,c
вноси́ться,4,c
громозди́ть,4,b
поуча́ствовать,2,a
подозва́ть,6,b
выставля́ться,1,a
выноси́ться,4,c
вы́носиться,4,a
забрести́,7,b
подыска́ть,6,c
забреда́ть,1,a
подзыва́ть,1,a
попла́кать,6,a
сыска́ть,6,c
прове́дать,1,a
подстере́чь,8,b
укомплектова́ть,2,a
разгуля́ть,1,a
урегули́ровать,2,a
сбаланси́ровать,2,a
сраста́ться,1,a
поды́скивать,1,a
распе́ть,12,b
предугада́ть,1,a
посочу́вствовать,2,a
баланси́ровать,2,a
подстерега́ть,1,a
переплести́,7,b
утере́ть,9,b
избало́вывать,1,a
сы́скивать,1,a
избалова́ть,2,a
высыла́ть,1,a
прогляну́ть,3,c
пережида́ть,1,a
подпусти́ть,4,c
прове́дывать,1,a
культиви́ровать,2,a
нама́зать,6,a
распева́ть,1,a
перели́стывать,1,a
переигра́ть,1,a
причеса́ть,6,c
дописа́ть,6,c
пережда́ть,6,b
разжима́ть,1,a
переплета́ть,1,a
перелиста́ть,1,a
подпуска́ть,1,a
допи́сывать,1,a
причёсывать,1,a
конфискова́ть,2,a
переклика́ться,1,a
подпа́сть,7,b
переи́грывать,1,a
дорасти́,7,b
комплектова́ть,2,a
резюми́ровать,2,a
разгу́ливать,1,a
утира́ть,1,a
раздува́ть,1,a
бу́хнуть,3,a
бухну́ть,3,b
сужа́ться,1,a
дораста́ть,1,a
командирова́ть,2,a
дискредити́ровать,2,a
упова́ть,1,a
объя́ть,14,c
подключи́ться,4,b
прия́ть,14,b
предуга́дывать,1,a
смётывать,1,a
поеда́ть,1,a
прогля́дывать,1,a
разжа́ть,14,b
ба́ловаться,2,a
зарыча́ть,5,b
полиста́ть,1,a
пролепета́ть,6,c
смета́ть,1,a
забормота́ть,6,c
проре́зать,6,a
прореза́ть,1,a
ула́дить,4,a
подпада́ть,1,a
отла́дить,4,a
затреща́ть,5,b
стерпе́ть,5,c
обескура́жить,4,a
перераба́тывать,1,a
застекли́ть,4,b
зани́зить,4,a
потесни́ть,4,b
расстели́ть,4,c
вы́просить,4,a
узако́нить,4,a
нацепи́ть,4,c
перерабо́тать,1,a
осложни́ть,4,b
оси́лить,4,a
поразмы́слить,4,a
вы́курить,4,a
клокота́ть,6,c
отла́живать,1,a
застекля́ть,1,a
вы́молвить,4,a
занижа́ть,1,a
прозре́ть,5,b
обескура́живать,1,a
прова́ливать,1,a
ула́живать,1,a
взвали́ть,4,c
узаконя́ть,1,a
попере́ть,9,b
перезвони́ть,4,b
оси́ливать,1,a
уве́домить,4,a
преобрази́ть,4,b
узако́нивать,1,a
расстила́ть,1,a
холоде́ть,1,a
уката́ть,1,a
выпра́шивать,1,a
взва́ливать,1,a
поуча́ть,1,a
переломи́ть,4,c
перезва́нивать,1,a
прогляде́ть,5,b
провали́ть,4,c
разостла́ть,6,c
светле́ть,1,a
изжи́ть,16,b
посветле́ть,1,a
подвы́пить,11,a
изжива́ть,1,a
перела́мывать,1,a
осложня́ть,1,a
стесня́ть,1,a
оттесня́ть,1,a
дури́ть,4,b
укати́ть,4,c
тесни́ть,4,b
разду́ть,12,a
потесни́ться,4,b
поводи́ть,4,c
тесни́ться,4,b
стесни́ться,4,b
стесни́ть,4,b
прозрева́ть,1,a
постесня́ться,1,a
смы́ться,12,a
проре́зывать,1,a
оттесни́ть,4,b
просветле́ть,1,a
клони́ть,4,c
ука́тывать,1,a
нацепля́ть,1,a
похолоде́ть,1,a
причита́ть,1,a
выку́ривать,1,a
обыма́ть,1,a
га́ркнуть,3,a
уличи́ть,4,b
спугну́ть,3,b
набу́хнуть,3,a
взъеро́шить,4,a
еро́шить,4,a
улича́ть,1,a
ля́пнуть,3,a
га́ркать,1,a
поборо́ть,10,c
прико́нчить,4,a
одёрнуть,3,a
разбу́хнуть,3,a
разбуха́ть,1,a
позолоти́ть,4,b
шевельну́ть,3,b
застига́ть,1,a
спу́гивать,1,a
почерпа́ть,1,a
подви́нуть,3,a
сдёргивать,1,a
сдёрнуть,3,a
помы́слить,4,a
прика́нчивать,1,a
загну́ть,3,b
одёргивать,1,a
содрогну́ться,3,b
зале́чь,8,a
переня́ть,14,b
вы́рисовать,2,a
почерпну́ть,3,b
засти́чь,3,a
помышля́ть,1,a
увлажня́ть,1,a
трактова́ться,2,a
организова́ться,2,a
содрога́ться,1,a
заблужда́ться,1,a
выплёскивать,1,a
вы́рисоваться,2,a
обороти́ть,4,c
засти́гнуть,3,a
загиба́ть,1,a
перенима́ть,1,a
сравня́ть,1,a
сровня́ть,1,a
продемонстри́роваться,2,a
разлива́ться,1,a
приравня́ть,1,a
организо́вываться,1,a
вырисо́вывать,1,a
предприня́ться,14,c
обора́чивать,1,a
возроди́ться,4,b
разли́ться,11,b
обёртывать,1,a
ужи́ться,16,b
оберну́ть,3,b
демонстри́роваться,2,a
ужива́ться,1,a
прировня́ть,1,a
вздыма́ться,1,a
предпринима́ться,1,a
поёжиться,4,a
возрожда́ться,1,a
увенча́ться,1,a
отрави́ться,4,c
набуха́ть,1,a
набу́хать,1,a
умеща́ть,1,a
вы́плеснуть,3,a
умести́ть,4,b
привали́ться,4,c
вздыма́ть,1,a
заверте́ть,5,c
вы́вестись,7,a
поёживаться,1,a
золоти́ть,4,b
активизи́роваться,2,a
умести́ться,4,b
умеща́ться,1,a
перетяну́ть,3,c
вырисо́вываться,1,a
изгото́виться,4,a
заверте́ться,5,c
отравля́ться,1,a
ровня́ть,1,a
черпну́ть,3,b
подвига́ть,1,a
подви́гать,1,a
увлажни́ть,4,b
отстраня́ться,1,a
полени́ться,4,c
лени́ться,4,c
выводи́ться,4,c
провини́ться,4,b
залега́ть,1,a
сбли́зиться,4,a
предви́деться,5,a
привали́ть,4,c
переплести́сь,7,b
сближа́ться,1,a
прива́ливать,1,a
перетя́гивать,1,a
иссле́доваться,2,a
прива́ливаться,1,a
зарази́ться,4,b
терпе́ться,5,c
загну́ться,3,b
ковыря́ть,1,a
изготовля́ться,1,a
переплета́ться,1,a
равня́ть,1,a
изгота́вливаться,1,a
заража́ться,1,a
преобража́ться,1,a
отстрани́ться,4,b
преобрази́ться,4,b
уцепи́ться,4,c
удосто́иться,4,a
уцепи́ть,4,c
па́риться,4,a
пошатну́ть,3,b
внедри́ться,4,b
свари́ться,4,c
внедря́ться,1,a
смыка́ть,1,a
дока́тываться,1,a
предъяви́ться,4,c
докати́ться,4,c
смыка́ться,1,a
сомкну́ться,3,b
вари́ться,4,c
удоста́иваться,1,a
проса́чиваться,1,a
исчи́слить,4,a
спи́ться,11,b
вски́нуться,3,a
отключи́ться,4,b
спива́ться,1,a
сомкну́ть,3,b
выка́тывать,1,a
вы́катиться,4,a
приоткры́ться,12,a
отключа́ться,1,a
вы́катить,4,a
пригляну́ться,3,c
выу́чиваться,1,a
вы́учиться,4,a
вски́дываться,1,a
выка́тываться,1,a
заменя́ться,1,a
предъявля́ться,1,a
выу́чивать,1,a
приоткрыва́ться,1,a
исчисля́ться,1,a
исчисля́ть,1,a
просочи́ться,4,b
замени́ться,4,c
пошатну́ться,3,b
подбодри́ть,4,b
обожда́ть,6,b
проигнори́ровать,2,a
упроси́ть,4,c
напере́ть,9,b
вздорожа́ть,1,a
езжа́ть,1,a
заблоки́ровать,2,a
распаха́ть,6,c
вкопа́ть,1,a
отсчита́ть,1,a
полюбопы́тствовать,2,a
замелька́ть,1,a
изнемо́чь,8,c
враждова́ть,2,a
упра́шивать,1,a
просле́довать,2,a
вка́пывать,1,a
подбодря́ть,1,a
хлю́пать,1,a
разодра́ть,6,b
пома́хивать,1,a
обрисова́ть,2,a
напира́ть,1,a
недооцени́ть,4,c
манипули́ровать,2,a
любопы́тствовать,2,a
подба́дривать,1,a
пересма́тривать,1,a
эксперименти́ровать,2,a
просуществова́ть,2,a
отсчи́тывать,1,a
переспра́шивать,1,a
бодри́ть,4,b
подпева́ть,1,a
изнемога́ть,1,a
обрисо́вывать,1,a
ры́скать,6,a
раздира́ть,1,a
недолю́бливать,1,a
недооце́нивать,1,a
апелли́ровать,2,a
потя́гивать,1,a
подорожа́ть,1,a
форси́ровать,2,a
распа́хивать,1,a
поку́шать,1,a
обомле́ть,1,a
прогреме́ть,5,b
осмеле́ть,1,a
оцепене́ть,1,a
поброди́ть,4,c
повеле́ть,5,b
остолбене́ть,1,a
поша́рить,4,a
потускне́ть,1,a
а́хать,1,a
цепене́ть,1,a
смеле́ть,1,a
столбене́ть,1,a
открои́ть,4,b
подогрева́ть,1,a
передразни́ть,4,c
подогре́ть,12,a
заблесте́ть,5,b
упря́тывать,1,a
помрачне́ть,1,a
посине́ть,1,a
мрачне́ть,1,a
вы́терпеть,5,a
навреди́ть,4,b
запеча́тать,1,a
зата́птывать,1,a
подре́зать,6,a
подреза́ть,1,a
вы́удить,4,a
скули́ть,4,b
порха́ть,1,a
натира́ть,1,a
повелева́ть,1,a
подыто́жить,4,a
попива́ть,1,a
порхну́ть,3,b
растере́ть,9,b
прикуси́ть,4,c
упря́тать,6,a
озвере́ть,1,a
накле́ить,4,a
сине́ть,1,a
схитри́ть,4,b
сцепи́ть,4,c
запеча́тывать,1,a
откра́ивать,1,a
выверя́ть,1,a
передра́знивать,1,a
залете́ть,5,b
подре́зывать,1,a
причи́слить,4,a
выу́живать,1,a
растира́ть,1,a
тускне́ть,1,a
подыто́живать,1,a
сцепля́ть,1,a
вы́верить,4,a
накле́ивать,1,a
прику́сывать,1,a
обустро́ить,4,a
хитри́ть,4,b
переоцени́ть,4,c
заостря́ть,1,a
отпива́ть,1,a
переоце́нивать,1,a
заостри́ть,4,b
залета́ть,1,a
округля́ть,1,a
обустра́ивать,1,a
округли́ть,4,b
загороди́ть,4,c
отпи́ть,11,b
спя́тить,4,a
загора́живать,1,a
отточи́ть,4,c
приюти́ть,4,b
измельчи́ть,4,b
оттащи́ть,4,c
обши́ть,11,b
заскочи́ть,4,c
утащи́ть,4,c
слипа́ться,1,a
огло́хнуть,3,a
оттаска́ть,1,a
шепеля́вить,4,a
пи́скнуть,3,a
обле́чься,8,b
сли́пнуться,3,a
прильну́ть,3,b
вильну́ть,3,b
отхлебну́ть,3,b
отхлеба́ть,1,a
сду́ть,12,a
облека́ться,1,a
отхлёбывать,1,a
поду́ть,12,a
отождестви́ть,4,b
поме́ркнуть,3,a
карта́вить,4,a
обшива́ть,1,a
отта́чивать,1,a
натере́ть,9,b
льну́ть,3,b
соскользну́ть,3,b
ута́скивать,1,a
ме́ркнуть,3,a
тра́хнуть,3,a
соска́льзывать,1,a
цепля́ть,1,a
виля́ть,1,a
отождествля́ть,1,a
заскака́ть,6,c
отвороти́ть,4,c
разгорячи́ть,4,b
метну́ть,3,b
отверну́ть,3,b
городи́ть,4,c
измельча́ть,1,a
отвёртывать,1,a
заска́кивать,1,a
горячи́ть,4,b
отта́скивать,1,a
сдува́ть,1,a
отожестви́ть,4,b
стру́сить,4,a
струси́ть,4,b
отожествля́ть,1,a
затопта́ть,6,c
нарва́ть,6,b
наве́даться,1,a
отва́дить,4,a
отду́ться,12,a
умча́ть,5,b
проанализи́роваться,2,a
отва́живать,1,a
умча́ться,5,b
плева́ться,2,b
подиви́ться,4,b
осу́нуться,3,a
отва́житься,4,a
отва́диться,4,a
отду́ть,12,a
подкра́сться,7,b
всмотре́ться,5,c
насу́пить,4,a
укорени́ть,4,b
насу́питься,4,a
исче́рпываться,1,a
отдува́ть,1,a
перха́ть,1,a
чередова́ть,2,a
чередова́ться,2,a
рисова́ться,2,a
поперхну́ться,3,b
анализи́роваться,2,a
подкра́дываться,1,a
су́пить,4,a
диви́ть,4,b
размахну́ть,3,b
проли́ться,11,b
нарыва́ть,1,a
упива́ться,1,a
нарыва́ться,1,a
куса́ться,1,a
упи́ться,11,b
нарва́ться,6,b
истрепа́ться,6,c
укореня́ть,1,a
поли́ться,11,b
укорени́ться,4,b
истрёпывать,1,a
диви́ться,4,b
разма́хиваться,1,a
укореня́ться,1,a
засомнева́ться,1,a
обнови́ться,4,b
